Ind,Pri,Cmp,GLON,GLAT,Vmag,f_Vmag,SpType,pml,pmb,dpml,e_dpml,dpmb,e_dpmb,Dis,e_Dis,Rvel,dRVel,e_dRVel,Mass,dR,Prob,ra_y,ra_error_y,dec_y,dec_error_y,l_y,b_y,phot_g_mean_mag_y,bp_rp_y,bp_g_y,g_rp_y,teff_val_y,pmra_y,pmra_error_y,pmdec_y,pmdec_error_y,radial_velocity_y,radial_velocity_error_y,distance_y,distance_error_y,del_pmra,del_pmra_error,del_pmdec,del_pmdec_error,angular_sep_1,angular_sep_2,proy_sep,proy_sep_2,rel_vel,rel_vel_err
5,1532,1532,97.4,-71.2,9.9,109, K5;UnK,-152.3,-267.1,,,,,21.1,0.7,-11.1,,,0.6,,,4.7730178457,0.047523364,-9.9661504681,0.0287506643,97.443082651,-71.2193554805,9.312404,1.6999321,0.8331928,0.8667393,4182.06,-36.5927162337,0.1259149548,-301.4346617143,0.0617604491,-11.1036927251,0.3479267918,20.1969883556,0.0229833379,0,0.2518299095,0,0.1235208983,0,0,,0,0,
5,1532,1539,103.8,-64.7,10.93,, -;UnK,-93.1,-199.6,11.7,8.5,18.1,14.4,31,2.2,,,,0.54,2.5432,0.19,4.8015327683,0.0372674306,-3.054553422,0.0292728821,103.7963950852,-64.722056503,10.279432,1.77069,0.8795538,0.89113617,4086.4033,-27.119916851,0.0948295435,-217.82705229,0.0586808718,-20.8660066993,0.5582407568,31.1866784476,0.0462636094,-9.4727993827,0.2207444983,-83.6076094243,0.1204413209,6.911655038,6.911655038,11.3985993605,11.3985993605,3.3838506618,0.067750469
7,3876,3876,122.8,7.6,7.75,70, K0;BiN,372.6,200.1,,,,,21.6,0.2,-28.5,,,0.8,,,12.4484352357,0.0271956262,70.4503559355,0.0258171106,122.7931636141,7.5790489061,7.487717,1.092422,0.49106884,0.60135317,5103,369.7438720144,0.0513022054,201.8410016463,0.0462906825,-31.6399226327,0.145475964,21.5773423353,0.0153248116,0,0.1026044108,0,0.0925813651,,0,,0,0,
7,3876,7346,124.4,20.1,9.04,, K2;UnK,266,180.6,3.8,7.8,-2,5.1,30.5,0.8,,,,0.75,4.7609,0.88,23.6820464325,0.0243854541,82.8494284021,0.0217608489,124.358067695,20.097852024,8.734501,1.1895065,0.54160595,0.6479006,4872.1797,294.6658103939,0.0427061389,130.7328451274,0.0409957365,7.6340978887,0.3541111744,31.4056749351,0.026068181,75.0780616205,0.0940083443,71.1081565189,0.087286419,12.6102487986,12.6102487986,11.3705359593,11.3705359593,6.1686115824,0.0815446854
9,10337,10337,199.7,-70.5,9.84,108, K5;UnK,88.5,371.5,,,,,22.3,0.8,3.2,,,0.57,,,33.3024198382,0.0279883379,-21.1962146862,0.0342356024,199.6994913238,-70.4562207156,9.259623,1.6896486,0.82907295,0.8605757,4130,375.4756253306,0.0690584684,55.8061335111,0.0848536992,2.6878660524,0.3126409827,23.7487493166,0.022625422,0,0.1381169367,0,0.1697073984,0,0,,0,0,
9,10337,6008,147.7,-74.9,10.8,, M1;UnK,331.7,159.5,-9.2,19.1,4.4,16.9,23.4,1.4,,,,0.48,6.0374,0.24,19.3171309609,0.0292563619,-13.263171917,0.0293420235,147.7403884786,-74.8766953525,10.013122,2.0051537,1.0304003,0.9747534,3871.82,364.2830146845,0.0664900874,21.2582769908,0.0570585968,16.7686670176,0.272856082,23.6033854158,0.0196590096,11.1926106461,0.1355485558,34.5478565203,0.141912296,15.5214421347,15.5214421347,6.3958807883,6.3958807883,4.1895975,0.0546177922
12,12158,12158,173.9,-55.3,8.1,77, K0V;UnK,191.2,265.7,,,,,24.1,0.6,27.5,,,0.79,,,39.1754044144,0.0495800484,-3.1558861552,0.0467637127,173.8802332898,-55.2499002742,7.8433557,1.1222401,0.51055574,0.6116843,4999,323.0133490348,0.1084113762,58.3840306992,0.1024128608,21.8916377964,3.4156498977,24.3394034531,0.0306987259,0,0.2168227524,0,0.2048257215,0,0,,0,0,
12,12158,11000,173.7,-60.5,9.07,, K0;UnK,174,246.9,2.4,7,15.4,9.5,26.3,0.8,,,,0.69,2.2179,0.61,35.436353067,0.0667578456,-6.879309823,0.0399920473,173.6830562598,-60.5150201674,8.703087,1.3162875,0.6084175,0.70787,4716.05,295.3835475887,0.1066436386,51.5726676141,0.0800173326,,,27.7038311673,0.0451934463,27.629801446,0.2150550148,6.8113630851,0.1824301934,5.2661570722,5.2661570722,4.1245187825,4.1245187825,1.5247740908,0.1378793502
16,15371,15371,279,-47.2,5.24,31, G1V;BiN,-1334.6,639.1,,,,,12,0,11.6,,,0.86,,,49.5658256917,0.1631348327,-62.5035741698,0.2060140572,278.961344872,-47.2142912019,5.0193624,0.79470634,0.3857689,0.40893745,5947,1331.1505102242,0.3551165812,648.5234299795,0.4306888376,12.0136237706,0.3202496712,12.0464290724,0.0274018297,0,0.7102331624,0,0.8613776752,0,8.53773646251594E-07,0,2.38418579101562E-07,0,
16,15371,15330,279.1,-47.2,5.53,, G4V;BiN,-1343.9,638.9,5.2,4.6,-0.6,2.4,12,0,12.1,-0.6,0.2,0.86,0.018,1,49.454851016,0.0704780706,-62.5725228284,0.0751876617,279.0876789962,-47.2113522091,5.3055005,0.8278556,0.3888936,0.43896198,5823.3335,1337.5907579622,0.1421973014,649.9297619613,0.1536477352,12.2123719218,0.1716975786,12.0391199563,0.0107083142,-6.440247738,0.4973138826,-1.4063319818,0.5843365728,0.0858661792,0.0858661792,0.0194717451,0.0194717451,0.3268410552,0.2918379033
