Table 1
Improved Catalog of Candidate Halo Wide Binaries

Primary	Other ID	Secondary	d	M_V(p)	M_V(s)	s	&lt;a&gt;	v_p	R_max	|z_max|	e	t_d/t	Cat	
(pc)	(")	(AU)	(km s^-1)	(kpc)	(pc)	
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	
NLTT 58746		NLTT 58747	156	9.4	9.4	4	876						CG	
NLTT 58812		NLTT 58813	435	6.2	6.2	2	1217						CG	
NLTT 239		NLTT 240	496	10.0	10.0	10	6944						CG	
NLTT 403	HIP 754	LP 348-62	45	4.5	8.8	30	1902	33.4	8.6	258	0.11	1.000	A	
NLTT 525	HIP 911	NLTT 526	251	4.8	7.4	8.5	2986	361.3	31.6	3122	0.92	0.157	ACG	
NLTT 1036		NLTT 1038	290	10.8	6.0	22.5	9135	213.0	9.8	7363	0.29	0.049	CG	
NLTT 1412		NLTT 1416	104	9.5	6.7	51.5	7475						CG	
NLTT 1645		NLTT 1647	219	7.5	9.9	20.2	6198						CG	
NLTT 1806	HIP 2663	BD -35 170B	36	3.6	6.0	6	304	90.9	9.3	146	0.34	1.000	A	
NLTT 1945	G 069-004	G 069-004 Ng	53	4.8	5.6	6.16	455	139.5	8.6	921	0.42	0.463	Z	
NLTT 2056	G172-016	G172-016B	119	5.6	11.4	8.3	1383	123.7	9.5	523	0.70	0.969	Z	
NLTT 2144		NLTT 2145	218	6.5	6.5	4	1220						CG	
NLTT 2205		NLTT 2206	170	6.8	8.2	3	713						CG	
NLTT 2324		NLTT 2325	198	8.5	8.5	2.5	694						CG	
NLTT 2425		NLTT 2426	282	11.3	8.7	4	1580						CG	
NLTT 2484	HIP 3550	LP 466-33	63	5.8	13.4	62	5467	69.8	9.7	350	0.22	1.000	A	
NLTT 2963		NLTT 2964	397	10.7	11.3	2	1112						CG	
NLTT 2989		NLTT 2990	107	9.9	9.9	1	149						CG	
NLTT 3116	G 242-074 A	G 242-074 Bn	98	4.8	9.9	19.5	3182	124.5	8.6	1336	0.52	0.284	Z	
NLTT 3252		NLTT 3253	503	9.5	10.7	10.8	7607						CG	
	HIP 5140	LDS 34	82	4.4	7.8	23	2640	53.5	8.6	528	0.16	0.932	A	
NLTT 3847		NLTT 3849	101	8.4	10.9	8	1127						CG	
NLTT 4362	HIP 6130	BD -1 167B	28	5.8	9.7	28	1084	49.7	8.6	112	0.21	1.000	A	
NLTT 4625		NLTT 4626	802	6.6	4.4	4	4492						CG	
NLTT 4814	G 002-038	NLTT 4817	153	10.7	5.2	24.4	5139	303.0	12.9	8058	0.98	0.006	ACG	
NLTT 5690	HIP 7869	LP 88-69	71	4.1	9.1	22	2198	183.7	8.6	4562	0.51	0.083	A	
NLTT 5781		NLTT 5784	306	11.6	7.1	52.1	22320	380.4	44.2	32637	0.91	0.019	CG	
NLTT 6529	HIP 9094	LP 709-81	34	3.8	9.3	29	1379	80.5	12.4	201	0.26	1.000	A	
NLTT 7087	HIP 9971	BD 27 335B	57	6.2	6.8	22	1755	86.5	8.6	679	0.32	0.709	A	
NLTT 7795	G4-16	LP 579-18	134	7.4	12.3	41	7689	147.8	8.6	468	0.67	1.000	A	
NLTT 7845	HIP 11137	BD 14 387	57	5.1	5.6	34	2727	65.4	12.6	657	0.22	0.730	A	
NLTT 8447	HIP 12114	BD 6 389B	7	6.5	12.4	170	1715	78.5	11.6	736	0.22	0.580	A	
NLTT 8643	HIP 12411	LP 941-143	40	5.3	13.4	31	1738	81.1	8.9	311	0.32	1.000	A	
NLTT 8720		NLTT 8721	205	7.2	7.2	6	1719						CG	
NLTT 8753		NLTT 8759	206	9.8	10.9	146.3	42122						CG	
NLTT 8997	HIP 13081	LP 354-414	22	5.8	13.8	20	626	17.7	8.6	68	0.07	1.000	A	
NLTT 9360		NLTT 9361	216	10.3	10.1	18.3	5534						CG	
NLTT 9798	HIP 14342	LP 470-9	100	3.6	7.6	1	140	104.5	8.7	2366	0.10	0.121	A	
NLTT 9961		NLTT 9962	122	8.7	8.7	4	681						CG	
NLTT 10356	HIP 15126	BD 0 549	79	5.7	11.3	78	8686	155.1	12.7	785	0.48	0.644	A	
NLTT 10426	HIP 15253	BD 4 519	78	4.8	7.3	2	218	117.8	9.9	76	0.43	1.000	A	
NLTT 10597	HIP 15371	BD -63 217	12	4.8	5.2	310	5241	74.0	9.5	321	0.24	1.000	A	
NLTT 10514	HIP 15394	BD 14 550B	57	3.6	10.7	135	10772	72.4	8.8	673	0.23	0.669	A	
NLTT 10536	HIP 15396	NLTT 10548	214	4.6	9.1	185.7	55410	417.5	9.6	5202	0.12	0.062	ACG	
NLTT 10634	HIP 15572	BD 8 496	51	4.9	11.5	81	5752	60.5	8.7	444	0.21	1.000	A	
NLTT 10701	HIP 15683	LP 412-34	73	6.6	13.2	26	2656	92.7	9.3	593	0.32	0.844	A	
NLTT 10733	HD 20835	LP 155-70	79	4.3	10.5	10	1106	87.2	12.7	817	0.26	0.541	A	
NLTT 10780		NLTT 10781	481	8.7	8.7	3	2020						CG	
NLTT 10999		NLTT 11000	678	8.4	7.6	14	13288						CG	
NLTT 11015		NLTT 11016	152	10.0	11.1	9	1920						CG	
NLTT 11139		NLTT 11140	113	6.7	6.5	4	631						CG	
NLTT 11124	HIP 16467	BD 43 744B	54	4.9	9.4	16	1205	70.2	8.9	318	0.27	1.000	A	
NLTT 11330	L 91-93	L91-94	34	8.4	8.8	13	448						R	
NLTT 11288		NLTT 11300	176	8.4	5.2	223.5	55082						CG	
NLTT 11424	G6-22	LP 413-23	108	6.1	6.3	3	453	143.6	10.5	891	0.48	0.528	A	
NLTT 11538		NLTT 11539	366	4.0	4.0	6	3072						CG	
NLTT 11791	HIP 17666	NLTT 11792	25	6.9	6.3	8	274	151.4	9.6	1603	0.51	0.242	ACG	
NLTT 12294		NLTT 12296	189	11.9	8.7	40.5	10691						CG	
NLTT 12415	HIP 18824	LP 944-99	52	3.1	3.7	1.9	139	86.9	8.7	1094	0.25	0.341	A	
NLTT 12415	HIP 18824		52	3.1	14.9	64	4678	86.9	8.7	1094	0.25	0.341	A	
NLTT 12567	HIP 19255		21	5.6	3.8	720	20739	24.2	9.0	27	0.08	1.000	A	
NLTT 12567	HIP 19255	BD 37 878B	21	5.6	7.4	3.6	74	24.2	9.0	27	0.08	1.000	A	
NLTT 12863	HIP 19849	BD -7 781A	5	5.9	10.8	82	578	111.2	12.7	624	0.34	0.815	A	
	Lp 230-119	Lp 230-125	84	8.5	8.5	31	2606						R	
NLTT 13455	HD 283702	BD 26 727B	80	6.4	8.5	16	1791	92.1	8.6	144	0.41	1.000	A	
NLTT 13968		NLTT 13970	148	5.7	12.9	20.3	4209						CG	
NLTT 14005	G85-17	NLTT 13996	103	5.7	12.6	133	19173	101.9	8.7	2000	0.20	0.157	A	
NLTT 14142	HD 31208	BD 7 754B	34	5.5	5.8	16	761	53.0	8.7	41	0.22	1.000	A	
NLTT 14407		NLTT 14408	47	8.5	11.2	11	725						CG	
NLTT 14658		NLTT 14659	174	5.8	5.8	2.5	609						CG	
NLTT 14867	HIP 24819	BD -3 1061B	17	6.6	6.6	4	94	90.6	9.7	363	0.31	1.000	A	
NLTT 14943	HIP 25137	LP 638-4	62	5.3	9.1	76	6591	80.6	12.4	1196	0.22	0.307	A	
NLTT 15008		NLTT 15009	144	10.4	12.9	12.7	2554						CG	
NLTT 15113	G 99-8	G99-9	114	8.0	9.5	83	9467						R	
NLTT 15262	HIP 26018	BD 19 953	46	5.5	7.3	4	258	56.5	8.7	607	0.16	0.766	A	
NLTT 15426	HIP 26501	BD -46 1936B	25	5.3	7.9	5.5	194	63.1	10.4	253	0.19	1.000	A	
NLTT 15512	HIP 26907	BD 2 1041B	31	6.1	11.2	53	2325	88.9	8.5	130	0.40	1.000	A	
NLTT 15501		NLTT 15509	210	10.6	11.0	141	41454	328.6	28.2	1481	0.85	0.374	CG	
NLTT 15664		NLTT 15665	45	11.8	11.8	3.5	222						CG	
NLTT 15953		NLTT 15954	122	10.4	13.3	14.4	2466						CG	
NLTT 15973	HIP 28671	LTT 9457	39	6.4	9.8	7	382	258.6	16.4	1822	0.76	0.220	A	
NLTT 16062	HIP 28940	BD 34 567	70	6.6	10.4	12	1176	265.5	11.8	6401	0.94	0.103	A	
NLTT 16184		NLTT 16185	457	5.9	7.4	4.5	2879						CG	
NLTT 16394		NLTT 16407	348	4.5	7.6	698.5	340309	481.5	144.0	88786	0.90	0.003	CG	
NLTT 16629		NLTT 16631	55	6.4	10.5	434.1	33416	179.6	8.9	2562	0.29	0.125	CG	
NLTT 16747	HIP 31740	LP 160-41	84	5.5	13.7	62	7280	131.8	9.9	784	0.46	0.619	A	
NLTT 16948	HIP 32423	R 419	25	6.8	11.0	31	1084	70.7	13.7	916	0.24	0.458	A	
NLTT 17017	HIP 32650	LDS 5686	50	4.4	12.4	27	1893	128.3	12.6	1116	0.37	0.376	A	
NLTT 17116	G 192-57	LP122-11	238	5.4	8.3	103	24538						R	
NLTT 17382	HIP 34065	BD -43 2907	16	4.5	5.6	21	478	75.7	8.8	156	0.30	1.000	A	
NLTT 17382	HIP 34065	BD -43 2904	16	4.5	8.1	193	4389	75.7	8.8	156	0.30	1.000	A	
NLTT 17675	HIP 35599	LP 58-160	85	4.3	11.9	58	6868	117.9	10.0	175	0.42	1.000	A	
NLTT 17770	HIP 35756	LP 359-227	180	4.1	10.4	34	8565	262.7	11.7	8661	0.96	0.158	A	
NLTT 17890	HIP 36165	BD -34 3610	40	4.0	4.6	17	944	76.5	9.4	686	0.22	0.635	A	
NLTT 17907	HIP 36357		18	2.9	10.6	2.8	69	39.6	10.9	259	0.14	1.000	A	
NLTT 17907	HIP 36357	BD+32 1562	18	6.5	2.9	757	18594	39.6	10.9	259	0.14	1.000	A	
NLTT 18247		NLTT 18248	110	6.6	6.2	2	307						CG	
NLTT 18346	HIP 37671	NLTT 18347	167	5.1	4.3	11.9	2805	290.3	21.6	17469	0.52	0.028	ACG	
NLTT 18775	G 90-036	G090-036B	293	5.4	8.8	1.67	685	515.8	429.1	53116	0.96	0.020	Z	
NLTT 18798		NLTT 18799	154	8.9	4.9	12.9	2788						CG	
NLTT 19053		NLTT 19054	460	4.3	4.3	4	2578						CG	
NLTT 18924		NLTT 18931	79	10.3	5.5	110.4	12210	155.0	9.0	1958	0.44	0.185	CG	
NLTT 19210	G 40-14	BD 30 4982B	235	4.5	10.8	98	32233	413.2	16.4	1444	0.70	0.327	A	
NLTT 19979		NLTT 19980	344	7.9	10.2	19.6	9439	228.1	15.0	8120	0.92	0.135	CG	
NLTT 20201		NLTT 20202	248	11.4	8.1	33.4	11581						CG	
NLTT 20699		NLTT 20700	136	9.7	6.8	5	950						CG	
NLTT 20892		NLTT 20894	270	9.2	8.0	8	3023						CG	
NLTT 20979	G 09-047	G009-047B	89	2.9	11.6	81.93	10217	162.8	10.1	1617	0.62	0.233	Z	
NLTT 21061	G116-009	G116-009B	265	7.2	11.2	10.08	3744	105.7	9.6	5395	0.89	0.237	Z	
NLTT 21351		NLTT 21352	699	3.6	3.6	2.5	2445						CG	
NLTT 21914		NLTT 21915	420	10.1	9.2	8	4703						CG	
NLTT 21999	HIP 46853		14	2.5	12.9	5	94	56.2	9.3	220	0.18	1.000	A	
NLTT 22230	HIP 47225		34	4.3	9.4	4	191	49.9	8.6	437	0.16	1.000	A	
NLTT 22301		NLTT 22302	378	9.3	7.8	13.6	7187						CG	
NLTT 22525		NLTT 22526	416	6.2	4.5	5	2908						CG	
NLTT 22726	G 43-7	LP 548-41	120	6.3	13.0	15	2519	178.4	13.9	340	0.56	1.000	A	
NLTT 23500	HIP 49668	AB	38	4.4	8.1	4.7	248	55.5	8.7	620	0.15	0.705	A	
NLTT 23895	BD+23 2207A	BD+23 2207Bv	23	4.0	9.6	7.72	245	206.9	9.3	150	0.16	1.000	Z	
NLTT 23937		NLTT 23938	289	9.7	9.7	1	405						CG	
NLTT 24638		NLTT 24639	441	5.9	9.9	6	3700						CG	
NLTT 25233		NLTT 25234	183	9.8	6.3	9	2300						CG	
NLTT 25403		NLTT 25404	177	6.8	5.2	25.9	6415						CG	
NLTT 25582	HIP 53165		55	4.4	6.1	1	77	73.3	9.7	403	0.23	1.000	A	
NLTT 25623		NLTT 25624	247	8.4	8.4	3	1038						CG	
NLTT 26709		NLTT 26710	85	12.0	12.0	1.5	178						CG	
NLTT 27069	G 45-48	BD 6 2436B	92	5.4	8.9	18	2318	103.7	14.5	602	0.33	0.853	A	
NLTT 27182		NLTT 27188	128	9.4	7.8	39.1	7030						CG	
NLTT 28236	G176-046	G176-046D	127	7.1	12.0	4.8	853	100.3	8.7	989	0.63	0.517	Z	
NLTT 28289		NLTT 28290	120	10.3	11.1	10	1686						CG	
NLTT 28512	HIP 57443	VB 5	9	5.1	15.7	23	297	58.4	9.4	139	0.20	1.000	A	
NLTT 29142	HIP 58401	LP 158-35	32	6.4	13.4	23	1027	189.1	8.5	24	0.88	1.000	A	
NLTT 29424		NLTT 29425	481	9.3	9.3	3	2020						CG	
NLTT 29556	HIP 58962	BD 19 1185B	135	4.7	7.8	1.8	340	266.9	9.5	5962	0.93	0.232	A	
NLTT 29553	HIP 58962	NLTT 29556	135	7.8	4.5	11	2267	266.9	9.5	5962	0.93	0.232	ACG	
NLTT 29665	HIP 59126	LP 494-38	42	6.5	15.0	66	3836	71.5	8.9	206	0.28	1.000	A	
NLTT 29742	HIP 59233	LP 376-84	56	5.8	10.3	16	1254	91.6	10.5	329	0.29	1.000	A	
NLTT 29798		NLTT 29799	240	7.7	7.7	2	672						CG	
NLTT 29860		NLTT 29862	371	5.0	5.0	7	3635						CG	
NLTT 29957	HIP 59532	LPM 416AB	34	4.8	10.3	2	95	113.3	13.2	743	0.34	0.662	A	
NLTT 30746		NLTT 30750	169	10.4	10.8	19.4	4593						CG	
NLTT 30792		NLTT 30795	370	10.5	7.8	146.7	75889						CG	
NLTT 30837		NLTT 30838	340	11.4	4.9	15.7	7473						CG	
NLTT 31465	G 59-032	G059-032B	48	5.5		112.03	7535	211.1	10.6	325	0.32	1.000	Z	
NLTT 31648	HIP 62041	LP 377-97	75	6.5	13.7	12	1260	68.6	8.6	375	0.28	1.000	A	
NLTT 31891		NLTT 31892	227	7.4	7.4	4	1271						CG	
NLTT 31917		NLTT 31918	208	8.9	8.9	3	873						CG	
