# Table derived from the table bestCanditates.csv. The meaning of the columns is the same
# Table created on Oct 18 15:51:30 2018
# 
# 
#  From table bestCandidates.csv all multiple entries were removed. That is, only stars appearing once were retained. This reduced from 12296 to 8628 pairs 
#  Cut in parallax accuracy: Max error on distance < 1.5 pc.    After filtering on distance 7173 pairs remained
#  NO cut for RADIAL VELOCITY.
# 
# 
# 
# Columns are:
#
#  1)  id_1         GAIA ID for primary
#  2)  id_2         GAIA ID for secondary
#  3)  ra_1         RA of primary star in degrees
#  4)  ra_err_1     error on right ascension in milliarcsec (mas)
#  5)  dec_1        DEC in degrees
#  6)  dec_err_1    error on DEC in mas
#  7)  ra_2         RA of secondary
#  8)  ra_err_2     error on RA of secundary in mas
#  9)  dec_2        DEC of secondary
# 10)  dec_err_2    error on DEC of secundary in mas
# 11)  d1           distance of primary in pc
# 12)  d1_err       error on distance in pc
# 13)  d2           distance of secondary in pc
# 14)  d2_err       error on distance in pc
# 15)  app_separ    Projected separation in arcsec, this was required to be smaller than 2 pc.
# 16)  radial_separ Separation along the radial direction (basically the difference of parallaxes) in pc. This was required to be smaller than 2pc.
# 17)  v1_ra        velocity from proper motion of primary in right ascension in km/s
# 18)  v1_ra_err    error on velocity along RA,  km/s 
# 19)  v1_dec       velocity from proper motion of primary along the declination, in km/s
# 20)  v1_dec_err   error on velocity of primary along declination, in km/s
# 21)  v2_ra        velocity from proper motion for secondary in km/s
# 22)  v2_ra_err    error on velocity along RA,  km/s
# 23)  v2_dec       dec velocity of secundary in km/s
# 24)  v2_dec_err   error on velocity along DEC,  km/s
# 25)  rv1         radial velocity of primary in km/s
# 26)  rv1_err     error on radial velocity in km/s
# 27)  rv2         radial velocity for secondary
# 28)  rv2_err     error on radial velocity
# 29)  m1           apparent magnitude of primary
# 30)  m2           app mag of secondary
# 31)  N2           number of stars (including the companion) in a cube of 2pc on a side centered on the primary
# 32)  N4           number of stars (including the companion) in a cube of 4pc on a side centered on the primary
# 
#
#                v_1                   v_2         v_3         v_4         v_5         v_6         v_7         v_8         v_9        v_10        v_11        v_12        v_13        v_14        v_15        v_16        v_17        v_18        v_19        v_20        v_21        v_22        v_23        v_24        v_25        v_26        v_27        v_28   v_29   v_30    v_31     v_32
#id_1,id_2,ra_1,ra_err_1,dec_1,dec_err_1,ra_2,ra_err_2,dec_2,dec_err_2,d1,d1_err,d2,d2_err,app_separ,radial_separ,v1_ra,v1_ra_err,v1_dec,v1_dec_err,v2_ra,v2_ra_err,v2_dec,v2_dec_err,rv1,rv1_err,rv2,rv2_err,m1,m2,N2,N4
  429343004131805568,   429342935412328704,   0.103468,   0.022920,  60.425358,   0.026667,   0.108606,   0.022375,  60.427642,   0.023766,    98.8950,     0.2982,    98.6240,     0.2906,    12.2863,     0.2710,   13.26490,    0.04540,    5.49370,    0.02810,   13.58100,    0.04520,    5.64480,    0.02630,   -8.76500,    1.27500,   -8.41800,    0.41200, 10.04, 10.61  ,     5  ,    15 
  420485136603049088,   420485136593782912,   0.115438,   0.027390,  55.258255,   0.021398,   0.115730,   0.033025,  55.258781,   0.021696,   106.3290,     0.4249,   106.9780,     0.4440,     1.9861,    -0.6490,  -13.74340,    0.06090,   -0.19850,    0.01960,  -15.78080,    0.07170,   -1.34100,    0.02070,  -12.23200,    0.84800,          *,          *, 11.44, 12.09  ,     3  ,    15 
 2746869015880925824,  2746869015880925696,   0.189242,   0.031237,   8.454214,   0.019412,   0.187880,   0.037375,   8.454229,   0.029148,    94.3210,     0.4358,    94.2010,     0.4339,     4.8502,     0.1200,   40.25090,    0.19120,    8.60370,    0.04240,   39.85820,    0.18930,    7.70030,    0.04890,   27.56000,    0.28100,   28.96500,    1.13000, 11.08, 12.85  ,     2  ,     4 
  431769046481178624,   431769046481178112,   0.461013,   0.023660,  64.624815,   0.024722,   0.460018,   0.033011,  64.625048,   0.053233,   112.3720,     0.3609,   112.7560,     0.4763,     1.7493,    -0.3840,   33.67510,    0.11090,    5.37260,    0.03080,   33.82930,    0.14650,    6.59580,    0.05520,   -5.19100,    0.21800,          *,          *,  9.95, 10.99  ,     4  ,    19 
 2772440392167202688,  2772440387871893760,   0.498503,   0.028379,  16.462742,   0.030111,   0.498778,   0.029272,  16.462381,   0.031247,   142.3610,     0.6572,   143.2400,     0.6870,     1.6095,    -0.8790,    6.15700,    0.04620,   10.40350,    0.05940,    5.88240,    0.04730,   10.40110,    0.06180,   13.40600,    0.50500,          *,          *, 13.34, 13.54  ,     4  ,     9 
 2875033176455625856,  2875031527188163072,   0.555774,   0.024217,  33.534129,   0.016162,   0.515490,   0.023691,  33.490135,   0.018291,    82.5360,     0.2306,    82.4380,     0.2403,   199.2406,     0.0980,   39.43230,    0.11150,   13.26580,    0.03840,   39.36270,    0.11600,   12.94340,    0.03950,   -2.83300,    0.39900,   -1.74800,    0.34200, 10.21, 11.19  ,     3  ,     6 
 2881010568339425920,  2881010564045367680,   0.681166,   0.028349,  39.034153,   0.021103,   0.680683,   0.031578,  39.034517,   0.022237,   135.2330,     0.6894,   134.2600,     0.7293,     1.8819,     0.9730,   32.42710,    0.16850,   -0.57070,    0.02050,   30.69790,    0.17090,   -0.62360,    0.02240,   -7.66200,    2.56000,  -13.95700,    1.25300, 12.97, 12.20  ,     3  ,    10 
  396259489527418368,   396259459468383744,   0.746749,   0.020177,  53.636027,   0.018654,   0.747162,   0.021639,  53.630863,   0.018851,   136.1240,     0.5575,   135.7950,     0.5651,    18.6113,     0.3290,  -10.48010,    0.04950,    0.39170,    0.02260,  -10.49950,    0.05080,    0.58350,    0.02290,    3.70300,    0.58900,    2.32400,    0.54100, 12.47, 12.74  ,     4  ,    14 
 2875142749661298560,  2875142745366475264,   0.830553,   0.030394,  33.950550,   0.018770,   0.829116,   0.034570,  33.949954,   0.022767,   137.6660,     0.8150,   135.9330,     1.0520,     4.7978,     1.7330,   17.30290,    0.10820,  -26.67150,    0.15910,   18.61010,    0.14930,  -26.38030,    0.20540,  -15.54300,    0.32100,          *,          *,  9.20, 12.51  ,     2  ,     5 
  387097057269315712,   387097052974534784,   0.929658,   0.035066,  46.878514,   0.021663,   0.929339,   0.022576,  46.879665,   0.013440,   147.6140,     0.8467,   145.8690,     0.5392,     4.2173,     1.7450,  -23.77560,    0.14140,  -16.88100,    0.09970,  -23.33350,    0.08950,  -16.37820,    0.06230,  -53.69900,   14.91500,          *,          *, 11.80, 13.24  ,     3  ,    12 
  384795053581082880,   384626076684153344,   0.962158,   0.042444,  42.879123,   0.026297,   1.476879,   0.026061,  43.121531,   0.020165,   156.6950,     1.4392,   158.1080,     0.9019,  1614.1077,    -1.4130,   36.46890,    0.34000,   -8.43900,    0.08320,   33.35160,    0.19290,   -9.87150,    0.06090,          *,          *,    8.52000,    0.53600, 11.42, 11.18  ,     3  ,    10 
 2874196929143032448,  2874196929143032192,   1.013188,   0.025472,  32.810055,   0.012525,   1.015229,   0.024507,  32.811246,   0.012212,   119.3710,     0.5786,   120.6840,     0.5875,     7.5180,    -1.3130,    9.95990,    0.05300,   25.60910,    0.12460,   10.45040,    0.05500,   26.23830,    0.12820,    3.29900,    1.80700,    0.43800,    1.29400, 13.38, 13.31  ,     2  ,     4 
 2745524519318287616,  2745524515024126208,   1.230677,   0.034141,   6.140922,   0.026705,   1.230874,   0.035577,   6.141528,   0.020790,   164.2470,     1.0899,   162.7280,     1.0464,     2.2927,     1.5190,    4.02740,    0.07690,   34.95070,    0.23560,    3.59760,    0.09150,   34.75720,    0.22550,   33.63700,    0.79700,          *,          *, 11.56, 13.02  ,     1  ,     4 
  386648181647057152,   386648181647056768,   1.239793,   0.042807,  45.673511,   0.025445,   1.239186,   0.043633,  45.674514,   0.023383,    73.2270,     0.2627,    73.5200,     0.2471,     3.9204,    -0.2930,    6.37030,    0.03070,  -22.65120,    0.08240,    6.42340,    0.03150,  -23.68840,    0.08060,  -17.15100,    0.15700,          *,          *,  7.42,  9.50  ,     3  ,    10 
 2773086595766697984,  2773086595766697856,   1.481176,   0.040950,  18.074577,   0.043273,   1.480470,   0.045923,  18.075245,   0.049595,    37.6760,     0.0736,    37.6830,     0.0848,     3.4090,    -0.0070,  -27.52660,    0.05620,  -26.84270,    0.05400,  -26.32050,    0.06160,  -25.99660,    0.06020,  -45.68700,    0.28300,  -45.00100,    0.74000,  9.18,  8.94  ,     3  ,     7 
 2738818666619512064,  2738818666619511808,   1.616191,   0.041141,   1.921117,   0.035536,   1.617051,   0.046746,   1.922935,   0.043271,   114.2390,     0.6966,   115.9830,     0.8332,     7.2394,    -1.7440,   16.34430,    0.11250,  -31.84150,    0.19690,   15.04580,    0.12550,  -33.08560,    0.24050,   -1.29800,    0.49100,   -1.39100,    0.26800, 10.43, 10.11  ,     4  ,    10 
